rebalance_date,fund_id,fund_name,asset_family,method,asset,asset_class,sector,pretrade_weight,target_weight,is_latest_rebalance
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DOW,Equity,Materials,0.0220965384885,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DUK,Equity,Utilities,0.0175936139268,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,EA,Equity,Comm,0.0178907429042,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GE,Equity,Industrials,0.022453820952,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GILD,Equity,Healthcare,0.0178989901201,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GS,Equity,Financials,0.0225302468074,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,INTC,Equity,Tech,0.0210659753592,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,KO,Equity,Consumer,0.019456962911,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MMM,Equity,Industrials,0.0192150748011,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MRK,Equity,Healthcare,0.0180191676906,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MS,Equity,Financials,0.0219241083432,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEE,Equity,Utilities,0.0174670012989,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEM,Equity,Materials,0.0174484523266,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NKE,Equity,Consumer,0.0193329231185,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NUE,Equity,Materials,0.0234754554124,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NVDA,Equity,Tech,0.0201903201523,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,O,Equity,RealEstate,0.019586632171,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,OXY,Equity,Energy,0.0253675210655,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PLD,Equity,RealEstate,0.0183580465541,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PSA,Equity,RealEstate,0.019654318396,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,QCOM,Equity,Tech,0.0166650203345,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SBUX,Equity,Consumer,0.0214305367327,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SHW,Equity,Materials,0.0188527697177,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SLB,Equity,Energy,0.0241439230607,0.02,False
