rebalance_date,sector,sentiment_signal,sentiment_zscore,coverage_share_21d_lag1,breadth_21d_lag1,coverage_quality,naive_multiplier,gated_multiplier,base_sector_weight,naive_sector_weight,gated_sector_weight,signal_available,coverage_available
2021-02-01,Healthcare,0.132733802343,0.577291290893,1,0.899531981279,0.899531981279,1.08659369363,1.0778937968,0.1,0.108932030995,0.108738062679,True,True
2021-02-01,Industrials,0.113670868893,0.0565734739405,1,0.656418033917,0.656418033917,1.00848602109,1.00557037728,0.1,0.10110166399,0.101442066962,True,True
2021-02-01,Materials,0.0738449007937,-1.03130165404,1,0.922787193974,0.922787193974,0.845304751893,0.857249206079,0.1,0.0847425895925,0.0864794084339,True,True
2021-02-01,RealEstate,0.0999554093567,-0.318074224798,1,0.843682008368,0.843682008368,0.95228886628,0.959746974882,0.1,0.0954678468185,0.0968193963266,True,True
2021-02-01,Tech,0.12852311948,0.462273442562,0.8,0.568962266692,0.455169813354,1.06934101638,1.03156193749,0.1,0.107202434013,0.104064098846,True,True
2021-02-01,Utilities,0.190926597222,2,1,0.537505972289,0.537505972289,1.3,1.16125179169,0.1,0.130326212202,0.117147227756,True,True
2021-03-01,Comm,0.109308009087,-0.0708422432357,1,0.844306271096,0.844306271096,0.989373663515,0.991028117467,0.1,0.0996202462749,0.0996902537998,True,True
2021-03-01,Consumer,0.0982031990741,-0.343761880231,1,0.759021828705,0.759021828705,0.948435717965,0.960861584354,0.1,0.0954981957615,0.0966557189675,True,True
2021-03-01,Energy,0.0638993705064,-1.18683694674,1,0.674505616538,0.674505616538,0.821974457988,0.879920772026,0.1,0.0827647843845,0.0885136592403,True,True
2021-03-01,Financials,0.0924935340136,-0.484086632646,1,0.830351712663,0.830351712663,0.927387005103,0.939705675326,0.1,0.0933787963511,0.0945275876832,True,True
2021-03-01,Healthcare,0.12737951924,0.373295926187,1,0.943004600022,0.943004600022,1.05599438893,1.05280296633,0.1,0.106328301398,0.10590435636,True,True
2021-03-01,Industrials,0.0699374464213,-1.03844093772,1,0.754242109541,0.754242109541,0.844233859341,0.882514617475,0.1,0.0850060882785,0.0887745813136,True,True
2021-03-01,Materials,0.0856581712963,-0.652077324011,1,0.993427230047,0.993427230047,0.902188401398,0.902831294535,0.1,0.0908415435422,0.0908182919377,True,True
2021-03-01,RealEstate,0.12202245614,0.241636968049,1,0.818744625967,0.818744625967,1.03624554521,1.02967584535,0.1,0.104339786091,0.103577935425,True,True
2021-03-01,Tech,0.140840576513,0.704124356412,0.8,0.720752076957,0.576601661566,1.10561865346,1.06089989108,0.1,0.111324979233,0.106718848369,True,True
2021-03-01,Utilities,0.21216276455,2,1,0.802775024777,0.802775024777,1.3,1.24083250743,0.1,0.130897278686,0.124818766904,True,True
2021-04-01,Comm,0.101371264834,-0.770118709017,1,0.629901828335,0.629901828335,0.884482193647,0.927235122573,0.1,0.0892562778106,0.0935206648389,True,True
2021-04-01,Consumer,0.123661470264,-0.0712272438123,1,0.759756162393,0.759756162393,0.989315913428,0.991882699387,0.1,0.0998354253433,0.100041000638,True,True
2021-04-01,Energy,0.113847163128,-0.378946951277,1,0.71267684944,0.71267684944,0.943157957308,0.959489992099,0.1,0.0951774600567,0.0967738816001,True,True
2021-04-01,Financials,0.120736898032,-0.16292485417,1,0.812567713976,0.812567713976,0.975561271874,0.980141878555,0.1,0.0984473950172,0.0988568248628,True,True
2021-04-01,Healthcare,0.10225638048,-0.742366619758,1,0.917364705882,0.917364705882,0.888645007036,0.897846859631,0.1,0.0896763622747,0.0905565731842,True,True
2021-04-01,Industrials,0.0924614900721,-1.04947753133,1,0.614041832578,0.614041832578,0.842578370301,0.903336534012,0.1,0.0850276123554,0.0911102601459,True,True
2021-04-01,Materials,0.110723856209,-0.476875727921,1,0.966587112172,0.966587112172,0.928468640812,0.930858710093,0.1,0.093695108322,0.0938861388224,True,True
2021-04-01,RealEstate,0.146127083333,0.633163986849,1,0.870503597122,0.870503597122,1.09497459803,1.08267572922,0.1,0.110497823042,0.109198359226,True,True
