trading_date,sector,article_count,covered_tickers,coverage_share,has_news,breadth,rolling_21d_article_count,rolling_21d_covered_tickers,rolling_21d_breadth
2020-01-22,Financials,4,3,0.6,True,0.533333333333,268,5,0.87804400978
2020-01-22,Healthcare,13,4,0.8,True,0.450666666667,187,5,0.914102731669
2020-01-22,Industrials,12,3,0.6,True,0.436363636364,150,5,0.628842929011
2020-01-22,Materials,4,3,0.6,True,0.533333333333,74,5,0.735033557047
2020-01-22,RealEstate,7,3,0.6,True,0.466666666667,56,5,0.664406779661
2020-01-22,Tech,14,4,0.8,True,0.369811320755,326,5,0.697120367334
2020-01-22,Utilities,18,4,0.8,True,0.661224489796,109,5,0.740018685768
2020-01-23,Comm,22,5,1,True,0.432142857143,166,5,0.666569908079
2020-01-23,Consumer,22,5,1,True,0.681690140845,376,5,0.680903530318
2020-01-23,Energy,17,5,1,True,0.791780821918,292,5,0.852981192477
2020-01-23,Financials,14,5,1,True,0.7,282,5,0.879495686795
2020-01-23,Healthcare,20,5,1,True,0.701754385965,207,5,0.906569343066
2020-01-23,Industrials,14,4,0.8,True,0.576470588235,164,5,0.627971048331
2020-01-23,Materials,9,5,1,True,0.704347826087,83,5,0.763324099723
2020-01-23,RealEstate,4,3,0.6,True,0.533333333333,60,5,0.676691729323
2020-01-23,Tech,36,5,1,True,0.344680851064,362,5,0.668353139185
2020-01-23,Utilities,8,4,0.8,True,0.711111111111,117,5,0.73934647583
2020-01-24,Comm,24,4,0.8,True,0.61935483871,190,5,0.665928795425
2020-01-24,Consumer,23,5,1,True,0.531658291457,399,5,0.672685018909
2020-01-24,Energy,14,5,1,True,0.933333333333,306,5,0.861258278146
2020-01-24,Financials,6,3,0.6,True,0.6,288,5,0.882007656316
2020-01-24,Healthcare,14,5,1,True,0.816666666667,221,5,0.904714272483
2020-01-24,Industrials,11,3,0.6,True,0.562790697674,175,5,0.62685497902
2020-01-24,Materials,11,3,0.6,True,0.474509803922,94,5,0.798193315266
2020-01-24,RealEstate,5,2,0.4,True,0.384615384615,65,5,0.692055692056
2020-01-24,Tech,46,5,1,True,0.406142034549,408,5,0.63608712266
2020-01-24,Utilities,28,5,1,True,0.478048780488,145,5,0.705655311294
2020-01-27,Comm,20,4,0.8,True,0.512820512821,210,5,0.653333333333
2020-01-27,Consumer,42,5,1,True,0.673282442748,441,5,0.680229446844
2020-01-27,Energy,22,5,1,True,0.78064516129,328,5,0.864128514056
2020-01-27,Financials,5,3,0.6,True,0.454545454545,293,5,0.889120190565
2020-01-27,Healthcare,23,5,1,True,0.761151079137,244,5,0.899607132064
2020-01-27,Industrials,18,5,1,True,0.753488372093,193,5,0.653663244714
2020-01-27,Materials,14,4,0.8,True,0.593939393939,108,5,0.794550408719
2020-01-27,RealEstate,6,3,0.6,True,0.514285714286,71,5,0.69102124743
2020-01-27,Tech,31,5,1,True,0.614057507987,439,5,0.635340465162
2020-01-27,Utilities,21,4,0.8,True,0.616783216783,166,5,0.69779691061
2020-01-28,Comm,15,4,0.8,True,0.762711864407,225,5,0.669953020578
2020-01-28,Consumer,37,4,0.8,True,0.455574043261,478,5,0.690179731158
2020-01-28,Energy,6,2,0.4,True,0.4,334,5,0.858585392134
2020-01-28,Financials,10,4,0.8,True,0.384615384615,303,5,0.878344893566
2020-01-28,Healthcare,12,5,1,True,0.847058823529,256,5,0.900343453771
2020-01-28,Industrials,34,4,0.8,True,0.379016393443,227,5,0.736391568417
2020-01-28,Materials,16,5,1,True,0.948148148148,124,5,0.825335480408
2020-01-28,RealEstate,4,3,0.6,True,0.533333333333,75,5,0.683890577508
2020-01-28,Tech,30,4,0.8,True,0.520231213873,469,5,0.631373336969
2020-01-28,Utilities,14,4,0.8,True,0.675862068966,180,5,0.721764312765
2020-01-29,Comm,11,4,0.8,True,0.562790697674,236,5,0.667337646777
2020-01-29,Consumer,35,5,1,True,0.515789473684,513,5,0.710509051148
2020-01-29,Energy,13,4,0.8,True,0.637735849057,347,5,0.856485400292
2020-01-29,Financials,7,4,0.8,True,0.515789473684,310,5,0.88181317673
2020-01-29,Healthcare,12,5,1,True,0.72,268,5,0.894334453991
2020-01-29,Industrials,28,4,0.8,True,0.653333333333,255,5,0.737621235324
2020-01-29,Materials,20,3,0.6,True,0.37037037037,144,5,0.78934145413
2020-01-29,RealEstate,5,3,0.6,True,0.555555555556,80,5,0.717488789238
2020-01-29,Tech,33,4,0.8,True,0.413282732448,502,5,0.632365561717
2020-01-29,Utilities,11,4,0.8,True,0.654054054054,191,5,0.730569740663
2020-01-30,Comm,18,4,0.8,True,0.410126582278,254,5,0.690084501016
2020-01-30,Consumer,40,5,1,True,0.557491289199,553,5,0.739517562421
2020-01-30,Energy,15,4,0.8,True,0.633802816901,362,5,0.850272514923
2020-01-30,Financials,9,3,0.6,True,0.558620689655,319,5,0.889402613294
2020-01-30,Healthcare,16,3,0.6,True,0.382089552239,284,5,0.907368657892
2020-01-30,Industrials,13,4,0.8,True,0.637735849057,268,5,0.763841327236
2020-01-30,Materials,32,4,0.8,True,0.598830409357,176,5,0.820338983051
2020-01-30,RealEstate,7,5,1,True,0.753846153846,87,5,0.724652943992
2020-01-30,Tech,21,4,0.8,True,0.625531914894,523,5,0.634424613529
2020-01-30,Utilities,11,4,0.8,True,0.620512820513,202,5,0.729946332737
2020-01-31,Comm,15,4,0.8,True,0.354330708661,269,5,0.704757730704
2020-01-31,Consumer,25,4,0.8,True,0.581395348837,578,5,0.745606713237
2020-01-31,Energy,31,5,1,True,0.496640826873,393,5,0.841156768238
2020-01-31,Financials,12,4,0.8,True,0.496551724138,331,5,0.903707675176
