month,sector,article_count,covered_tickers,hhi,breadth
2021-05,Healthcare,152,5,0.201263850416,0.993720430108
2021-05,Industrials,196,5,0.251093294461,0.796516690856
2021-05,Materials,70,5,0.227346938776,0.879712746858
2021-05,RealEstate,34,5,0.230103806228,0.869172932331
2021-05,Tech,177,4,0.311755881132,0.641527592915
2021-05,Utilities,62,5,0.257544224766,0.776565656566
2021-06,Comm,195,5,0.282945430638,0.706850079004
2021-06,Consumer,418,5,0.232103202766,0.861685653696
2021-06,Energy,272,5,0.278465614187,0.71822153189
2021-06,Financials,326,5,0.245756332568,0.813814227736
2021-06,Healthcare,183,5,0.21729523127,0.920406761028
2021-06,Industrials,148,4,0.271548575603,0.736516476126
2021-06,Materials,70,5,0.270612244898,0.739064856712
2021-06,RealEstate,49,5,0.280299875052,0.713521545319
2021-06,Tech,242,4,0.279045147189,0.716729898421
2021-06,Utilities,61,5,0.279226014512,0.716265640038
2021-07,Comm,202,5,0.311293010489,0.642481498977
2021-07,Consumer,369,5,0.228472176321,0.875380115079
2021-07,Energy,252,5,0.257306626354,0.777282741738
2021-07,Financials,424,5,0.262804823781,0.761021038818
2021-07,Healthcare,163,5,0.217358575784,0.920138528139
2021-07,Industrials,154,4,0.283943329398,0.704365904366
2021-07,Materials,70,5,0.210204081633,0.95145631068
2021-07,RealEstate,56,5,0.226403061224,0.88338028169
2021-07,Tech,302,4,0.328209289066,0.609367274671
2021-07,Utilities,64,5,0.24755859375,0.807889546351
2021-08,Comm,218,5,0.226874842185,0.881543312929
2021-08,Consumer,429,5,0.296700191805,0.674081128102
2021-08,Energy,288,5,0.258559992284,0.773514874569
2021-08,Financials,272,5,0.245593641869,0.814353329664
2021-08,Healthcare,156,5,0.203566732413,0.982478805006
2021-08,Industrials,139,4,0.258112934113,0.774854622017
2021-08,Materials,86,5,0.251216873986,0.796124865447
2021-08,RealEstate,51,5,0.287966166859,0.694526034713
2021-08,Tech,323,5,0.253342790595,0.789444213234
2021-08,Utilities,75,5,0.230933333333,0.866050808314
2021-09,Comm,238,5,0.23727137914,0.842916666667
2021-09,Consumer,431,5,0.236944245563,0.844080427127
2021-09,Energy,309,5,0.282328421361,0.708394851059
2021-09,Financials,308,5,0.242283690336,0.825478593804
2021-09,Healthcare,226,5,0.231498159605,0.863937753721
2021-09,Industrials,127,4,0.255006510013,0.784293702893
2021-09,Materials,72,5,0.274691358025,0.72808988764
2021-09,RealEstate,65,5,0.240236686391,0.832512315271
2021-09,Tech,310,5,0.217023933403,0.921557345608
2021-09,Utilities,69,5,0.252257929007,0.792839300583
2021-10,Comm,201,5,0.278631717037,0.717793373012
2021-10,Consumer,397,5,0.240982431206,0.829936020642
2021-10,Energy,280,5,0.286198979592,0.698814511097
2021-10,Financials,387,5,0.238720963617,0.837798226722
2021-10,Healthcare,336,5,0.338630243764,0.590614700497
2021-10,Industrials,183,4,0.252889008331,0.790860786397
2021-10,Materials,86,5,0.231206057328,0.865029239766
2021-10,RealEstate,63,5,0.226001511716,0.884949832776
2021-10,Tech,371,5,0.235576608714,0.848980724749
2021-10,Utilities,62,5,0.254422476587,0.78609406953
2021-11,Comm,217,5,0.240077300431,0.83306501548
2021-11,Consumer,444,5,0.251359467576,0.79567323216
2021-11,Energy,235,5,0.3117971933,0.641442592485
2021-11,Financials,313,5,0.25594831018,0.78140777667
2021-11,Healthcare,243,5,0.329438263137,0.607094021488
2021-11,Industrials,149,4,0.303274627269,0.659468290509
2021-11,Materials,78,5,0.24358974359,0.821052631579
2021-11,RealEstate,77,5,0.237308146399,0.842786069652
2021-11,Tech,453,5,0.296015281981,0.675640793481
2021-11,Utilities,68,5,0.23053633218,0.867542213884
2021-12,Comm,198,5,0.368482807877,0.542766163644
2021-12,Consumer,422,5,0.232811482222,0.859064158225
2021-12,Energy,216,5,0.284893689986,0.702016250376
2021-12,Financials,307,5,0.249541109189,0.801471150984
2021-12,Healthcare,269,5,0.26957891682,0.741897780284
2021-12,Industrials,187,5,0.224169979124,0.892180125016
2021-12,Materials,75,5,0.288177777778,0.694016039482
2021-12,RealEstate,86,5,0.202541914548,0.987449933244
2021-12,Tech,512,5,0.243553161621,0.821175954641
