date,sector,vader_compound_raw,vader_compound_lag1,vader_compound_21d_trailing,vader_compound_21d_trailing_lag1,positive_ticker_share,neutral_ticker_share,negative_ticker_share,article_count,covered_tickers,coverage_share,breadth,has_news,signal_source_date,signal_available
2023-08-02,Materials,0.0543933333333,0.2106,0.0882984439935,0.0874676662157,0.5,0.5,0,15,4,0.8,0.405405405405,True,2023-08-01,True
2023-08-02,RealEstate,0.134563333333,0.08504,0.142219548564,0.145260104119,0.75,0.25,0,10,4,0.8,0.555555555556,True,2023-08-01,True
2023-08-02,Tech,0.0489897982381,0.209481941176,0.12672893755,0.138820112691,0.6,0.2,0.2,82,5,1,0.684028484232,True,2023-08-01,True
2023-08-02,Utilities,0.01201,0.09626,0.167780565004,0.17597664966,0.2,0.8,0,7,5,1,0.890909090909,True,2023-08-01,True
2023-08-03,Comm,0.0586347619048,0.103793333333,0.095796804068,0.106065287628,0.6,0.2,0.2,17,5,1,0.770666666667,True,2023-08-02,True
2023-08-03,Consumer,0.0140763333333,0.00031869047619,0.0993404587055,0.103135966642,0.4,0.2,0.4,21,5,1,0.969230769231,True,2023-08-02,True
2023-08-03,Energy,0.0565857142857,0.06764,0.096064503931,0.0960770366364,0.4,0.4,0.2,33,5,1,0.792,True,2023-08-02,True
2023-08-03,Financials,0.104483333333,0.0807685714286,0.079838145792,0.081574203993,0.6,0.2,0.2,13,5,1,0.689795918367,True,2023-08-02,True
2023-08-03,Healthcare,0.0940942777778,0.170213392857,0.104280134959,0.111376280462,0.6,0.4,0,37,5,1,0.847678018576,True,2023-08-02,True
2023-08-03,Industrials,0.119383333333,0.074383627451,0.0828801561629,0.0892512703265,0.666666666667,0.333333333333,0,8,3,0.6,0.426666666667,True,2023-08-02,True
2023-08-03,Materials,0.044475,0.0543933333333,0.0826955273268,0.0882984439935,0.25,0.75,0,7,4,0.8,0.515789473684,True,2023-08-02,True
2023-08-03,RealEstate,0.0372166666667,0.134563333333,0.130490712585,0.142219548564,0.2,0.6,0.2,15,5,1,0.762711864407,True,2023-08-02,True
2023-08-03,Tech,0.0592179004329,0.0489897982381,0.122616356845,0.12672893755,0.4,0.6,0,78,5,1,0.705800464037,True,2023-08-02,True
2023-08-03,Utilities,0.0763233333333,0.01201,0.155874533258,0.167780565004,0.6,0.2,0.2,19,5,1,0.891358024691,True,2023-08-02,True
2023-08-04,Comm,0.016595,0.0586347619048,0.0907927564489,0.095796804068,0.4,0.4,0.2,13,5,1,0.913513513514,True,2023-08-03,True
2023-08-04,Consumer,0.07977,0.0140763333333,0.100532692266,0.0993404587055,0.6,0.2,0.2,22,5,1,0.949019607843,True,2023-08-03,True
2023-08-04,Energy,-0.0628958333333,0.0565857142857,0.085437173999,0.096064503931,0.25,0.5,0.25,13,4,0.8,0.614545454545,True,2023-08-03,True
2023-08-04,Financials,0.0558466666667,0.104483333333,0.0770485539552,0.079838145792,0.4,0.6,0,12,5,1,0.8,True,2023-08-03,True
2023-08-04,Healthcare,-0.0376653333333,0.0940942777778,0.0863601587688,0.104280134959,0.2,0.6,0.2,31,5,1,0.647138047138,True,2023-08-03,True
2023-08-04,Industrials,0.143870833333,0.119383333333,0.0867221006074,0.0828801561629,0.75,0,0.25,13,4,0.8,0.59298245614,True,2023-08-03,True
2023-08-04,Materials,,0.044475,0.0831531866598,0.0826955273268,,,,0,0,0,,False,2023-08-03,True
2023-08-04,RealEstate,-0.08166,0.0372166666667,0.122123728458,0.130490712585,0.2,0.2,0.6,10,5,1,0.769230769231,True,2023-08-03,True
2023-08-04,Tech,0.0656071666667,0.0592179004329,0.124334028668,0.122616356845,0.8,0,0.2,41,5,1,0.635538752363,True,2023-08-03,True
2023-08-04,Utilities,0.100984,0.0763233333333,0.15241675548,0.155874533258,0.8,0.2,0,22,5,1,0.681690140845,True,2023-08-03,True
2023-08-07,Comm,0.08163,0.016595,0.0877731929569,0.0907927564489,0.8,0.2,0,14,5,1,0.852173913043,True,2023-08-04,True
2023-08-07,Consumer,0.075559,0.07977,0.0986972478211,0.100532692266,0.6,0.4,0,30,5,1,0.629370629371,True,2023-08-04,True
2023-08-07,Energy,0.105470833333,-0.0628958333333,0.0907243111872,0.085437173999,0.6,0.4,0,26,5,1,0.877922077922,True,2023-08-04,True
2023-08-07,Financials,-0.0390593333333,0.0558466666667,0.0729435698283,0.0770485539552,0.2,0.4,0.4,25,5,1,0.862068965517,True,2023-08-04,True
2023-08-07,Healthcare,0.113333333333,-0.0376653333333,0.0869484127371,0.0863601587688,0.6,0.4,0,13,5,1,0.786046511628,True,2023-08-04,True
2023-08-07,Industrials,0.0734125,0.143870833333,0.0925164458455,0.0867221006074,0.5,0.5,0,15,4,0.8,0.633802816901,True,2023-08-04,True
2023-08-07,Materials,0,,0.0794395024493,0.0831531866598,0,1,0,1,1,0.2,0.2,True,,False
2023-08-07,RealEstate,0.0143333333333,-0.08166,0.121602101474,0.122123728458,0.5,0.25,0.25,7,4,0.8,0.653333333333,True,2023-08-04,True
